cwit_id,crid,gender,age,race,race_edit,final_outcome_highest
30849,1068160,M,66.6,BLACK,Black,unknown
30850,1068163,M,20.9,BLACK,Black,not-sustained
30851,1068165,M,56.3,BLACK,Black,not-sustained
30852,1068169,M,58.8,BLACK,Black,open-investigation
30853,1068171,M,43.3,WHITE HISPANIC,White/Hispanic,unknown
30854,1068173,F,39.0,WHITE,White,unknown
30855,1068175,M,20.3,WHITE HISPANIC,White/Hispanic,unknown
30856,1068179,F,37.0,HISPANIC,Hispanic,not-sustained
30857,1068181,F,36.0,BLACK,Black,not-sustained
30858,1068184,F,32.7,BLACK,Black,not-sustained
30859,1068185,M,56.9,BLACK,Black,not-sustained
30860,1068186,F,55.7,BLACK,Black,open-investigation
30861,1068187,M,48.0,BLACK,Black,unknown
30862,1068188,F,34.1,BLACK,Black,unknown
30863,1068189,M,,WHITE,White,sustained
30864,1068191,M,19.4,BLACK,Black,not-sustained
30865,1068192,M,37.9,WHITE,White,not-sustained
30866,1068193,F,76.5,BLACK,Black,not-sustained
30867,1068198,M,37.1,BLACK,Black,open-investigation
30868,1068199,M,24.7,WHITE HISPANIC,White/Hispanic,not-sustained
30869,1068201,F,61.2,BLACK,Black,not-sustained
30870,1068203,F,26.8,WHITE,White,not-sustained
30871,1068204,F,36.6,BLACK,Black,not-sustained
30872,1068205,M,50.6,BLACK,Black,not-sustained
30873,1068207,M,,WHITE HISPANIC,White/Hispanic,open-investigation
30874,1068208,F,30.4,BLACK,Black,not-sustained
30875,1068209,F,47.3,WHITE,White,open-investigation
30876,1068211,F,59.7,BLACK,Black,open-investigation
30877,1068213,M,41.8,WHITE,White,unknown
30878,1068214,F,24.9,WHITE HISPANIC,White/Hispanic,not-sustained
30879,1068215,F,43.8,WHITE HISPANIC,White/Hispanic,unknown
30880,1068217,F,52.1,WHITE HISPANIC,White/Hispanic,unknown
30881,1068218,M,38.1,BLACK,Black,not-sustained
30882,1068219,F,31.4,BLACK,Black,unknown
30883,1068220,F,43.2,BLACK,Black,not-sustained
30884,1068222,M,59.5,HISPANIC,Hispanic,unknown
30885,1068223,M,52.9,WHITE,White,unknown
30886,1068230,M,45.7,BLACK,Black,unknown
30887,1068231,F,31.8,WHITE HISPANIC,White/Hispanic,unknown
30888,1068232,F,,UNKNOWN,Unknown,unknown
30889,1068233,M,41.1,BLACK,Black,unknown
30890,1068234,F,30.8,BLACK,Black,unknown
30891,1068235,M,54.1,WHITE,White,not-sustained
30892,1068236,F,37.5,BLACK,Black,unknown
30893,1068237,M,47.6,BLACK,Black,open-investigation
30894,1068238,M,,UNKNOWN,Unknown,not-sustained
30895,1068239,M,39.3,BLACK,Black,open-investigation
30896,1068240,M,24.7,BLACK,Black,unknown
30897,1068241,F,42.5,WHITE HISPANIC,White/Hispanic,unknown
30898,1068242,M,,UNKNOWN,Unknown,unknown
30899,1068243,F,65.7,BLACK,Black,not-sustained
30900,1068244,F,75.2,BLACK,Black,not-sustained
30901,1068245,M,,BLACK,Black,unknown
30902,1068247,F,21.3,BLACK,Black,unknown
30903,1068248,M,34.0,BLACK,Black,unknown
30904,1068249,M,34.0,WHITE HISPANIC,White/Hispanic,unknown
30905,1068250,M,33.2,BLACK,Black,not-sustained
30906,1068253,F,24.2,BLACK,Black,unknown
30907,1068254,M,,WHITE HISPANIC,White/Hispanic,unknown
30908,1068255,M,27.2,ASIAN/PACIFIC ISLANDER,Asian,open-investigation
30909,1068255,M,56.4,ASIAN/PACIFIC ISLANDER,Asian,open-investigation
30910,1068257,F,44.6,BLACK,Black,not-sustained
30911,1068258,M,50.7,WHITE,White,not-sustained
30912,1068259,F,24.7,BLACK,Black,unknown
30913,1068260,F,27.3,BLACK,Black,unknown
30914,1068263,F,37.0,BLACK,Black,not-sustained
30915,1068265,F,33.2,WHITE HISPANIC,White/Hispanic,open-investigation
30916,1068267,M,55.5,WHITE,White,unknown
30917,1068269,M,27.3,BLACK,Black,unknown
30918,1068270,M,23.8,BLACK,Black,not-sustained
